# k-point: 0.000000  0.000000  0.000000
# band     ipr_up            ipr_norm_up       ipr_dw            ipr_norm_dw       Energy_up(eV)   Energy_dw(eV)
   126   6.7903765871e-06   3.9287154754e-02   6.7904584981e-06   3.9287817052e-02       1.059300       1.059300
   127   6.7868550750e-06   3.9257640760e-02   6.7868559181e-06   3.9257623641e-02       1.059300       1.059300
   128   5.6209100580e-06   2.9485788840e-02   5.6209012848e-06   2.9485697016e-02       1.069700       1.069700
   129   5.6194608192e-06   2.9473642687e-02   5.6194656227e-06   2.9473664657e-02       1.069700       1.069700
   130   7.7790155165e-06   4.7572994206e-02   7.7790152762e-06   4.7572962996e-02       1.089200       1.089200
   131   5.4498882729e-06   2.8052445471e-02   5.4498855636e-06   2.8052405332e-02       1.137100       1.137100
   132   5.2547064850e-06   2.6416615735e-02   5.2546967233e-06   2.6416517477e-02       1.144600       1.144600
   133   5.2535713042e-06   2.6407101720e-02   5.2535696920e-06   2.6407071768e-02       1.144600       1.144600
   134   5.3400317368e-06   2.7131731555e-02   5.3400280111e-06   2.7131683452e-02       1.190000       1.190000
   135   5.3407636442e-06   2.7137865713e-02   5.3407719043e-06   2.7137918060e-02       1.190000       1.190000
   136   6.6499021861e-06   3.8109830759e-02   6.6498907808e-06   3.8109711678e-02       1.196800       1.196800
   137   6.6450620610e-06   3.8069265394e-02   6.6450683797e-06   3.8069294883e-02       1.196800       1.196800
   138   6.1740451641e-06   3.4121645823e-02   6.1740198909e-06   3.4121412917e-02       1.209100       1.209100
   139   6.1738905041e-06   3.4120349608e-02   6.1738655496e-06   3.4120119375e-02       1.209100       1.209100
   140   5.3758291756e-06   2.7431751938e-02   5.3758294218e-06   2.7431736944e-02       1.224300       1.224300
   141   6.9061140698e-06   4.0257157221e-02   6.9061102131e-06   4.0257100110e-02       1.272300       1.272300
   142   6.9054425535e-06   4.0251529204e-02   6.9054369704e-06   4.0251457629e-02       1.272300       1.272300
   143   5.6825130384e-06   3.0002086945e-02   5.6825120194e-06   3.0002059798e-02       1.350800       1.350800
   144   4.9790027176e-06   2.4105926681e-02   4.9790029042e-06   2.4105913192e-02       1.520700       1.520700
   145   5.6667227462e-06   2.9869747602e-02   5.6667236276e-06   2.9869736463e-02       1.632400       1.632400
   146   5.6665421808e-06   2.9868234273e-02   5.6665428558e-06   2.9868221405e-02       1.632400       1.632400
   147   7.2470164387e-06   4.3114279486e-02   7.2470165745e-06   4.3114254115e-02       1.907500       1.907500
   148   7.3057127429e-06   4.3606216571e-02   7.3057095247e-06   4.3606162794e-02       2.181400       2.181400
   149   7.3061245364e-06   4.3609667836e-02   7.3061205502e-06   4.3609607620e-02       2.181400       2.181400
   150   5.7643117473e-06   3.0687646606e-02   5.7643127782e-06   3.0687636226e-02       2.198100       2.198100
   151   5.7923495536e-06   3.0922633065e-02   5.7923737128e-06   3.0922816384e-02       2.221700       2.221700
   152   5.7893978093e-06   3.0897894327e-02   5.7893952091e-06   3.0897853388e-02       2.221700       2.221700
   153   6.9558840549e-06   4.0674282314e-02   6.9558829687e-06   4.0674248173e-02       2.225800       2.225800
   154   7.4877662069e-06   4.5132017073e-02   7.4877662447e-06   4.5131989664e-02       2.260900       2.260900
   155   5.4111134089e-06   2.7727471116e-02   5.4111132120e-06   2.7727452231e-02       2.289000       2.289000
   156   5.4111476213e-06   2.7727757853e-02   5.4111489514e-06   2.7727751765e-02       2.289000       2.289000
   157   7.9224488281e-06   4.8775116999e-02   7.9224487844e-06   4.8775086713e-02       2.533700       2.533700
   158   7.9222463676e-06   4.8773420166e-02   7.9222475477e-06   4.8773400137e-02       2.533800       2.533800
   159   7.4477370155e-06   4.4796530128e-02   7.4477380454e-06   4.4796511237e-02       3.467100       3.467100
   160   8.2927726398e-06   5.1878822061e-02   8.2927679946e-06   5.1878751338e-02       3.678100       3.678100
   161   8.2905208913e-06   5.1859950028e-02   8.2905252680e-06   5.1859954929e-02       3.678100       3.678100
   162   4.9531036580e-06   2.3888865181e-02   4.9531048873e-06   2.3888860561e-02       3.701800       3.701800
   163   6.7901491894e-06   3.9285248921e-02   6.7901570536e-06   3.9285290630e-02       3.730800       3.730800
   164   7.1985519450e-06   4.2708095790e-02   7.1984679081e-06   4.2707365209e-02       3.740200       3.740200
   165   7.1962033265e-06   4.2688411884e-02   7.1961286868e-06   4.2687760073e-02       3.740200       3.740200
   166   5.4541074484e-06   2.8087806623e-02   5.4541175671e-06   2.8087873975e-02       3.755600       3.755600
   167   5.4526065863e-06   2.8075227812e-02   5.4526013975e-06   2.8075166878e-02       3.755600       3.755600
