# k-point: 0.000000  0.000000  0.000000
# band     ipr_up            ipr_norm_up       ipr_dw            ipr_norm_dw       Energy_up(eV)   Energy_dw(eV)
    83   7.0546817479e-06   4.1115268297e-02   7.0546412893e-06   4.1105852057e-02      -0.879600      -0.879600
    84   7.0556637606e-06   4.1123438017e-02   7.0556773416e-06   4.1114469451e-02      -0.879600      -0.879600
    85   6.0552845636e-06   3.2800920255e-02   6.0552129675e-06   3.2793079371e-02      -0.861600      -0.861600
    86   6.0542312025e-06   3.2792156962e-02   6.0543032022e-06   3.2785512374e-02      -0.861600      -0.861600
    87   7.0420723104e-06   4.1010365808e-02   7.0420722177e-06   4.1001308457e-02      -0.848100      -0.848100
    88   5.9840592911e-06   3.2208371353e-02   5.9841931229e-06   3.2202369851e-02      -0.841800      -0.841800
    89   5.9845773453e-06   3.2212681234e-02   5.9844719644e-06   3.2204689123e-02      -0.841800      -0.841800
    90   7.5094943411e-06   4.4899019395e-02   7.5094987193e-06   4.4889141301e-02      -0.829300      -0.829300
    91   6.1364543684e-06   3.3476201333e-02   6.1364991032e-06   3.3469179051e-02      -0.813300      -0.813300
    92   6.1352977118e-06   3.3466578687e-02   6.1352779708e-06   3.3459022249e-02      -0.813300      -0.813300
    93   6.6287631342e-06   3.7571896705e-02   6.6287628990e-06   3.7563596777e-02      -0.524700      -0.524700
    94   6.9352436613e-06   4.0121619488e-02   6.9352452216e-06   4.0112771965e-02       0.319600       0.319600
    95   4.9177368156e-06   2.3337247514e-02   4.9177312183e-06   2.3332043488e-02       0.415100       0.415100
    96   4.9163411315e-06   2.3325636311e-02   4.9163357339e-06   2.3320436508e-02       0.415200       0.415200
    97   4.7839277493e-06   2.2224041307e-02   4.7839181534e-06   2.2219049623e-02       0.457000       0.457000
    98   4.7852737823e-06   2.2235239444e-02   4.7852654100e-06   2.2230255467e-02       0.457000       0.457000
    99   6.0133865082e-06   3.2452355120e-02   6.0133855732e-06   3.2445178864e-02       0.542500       0.542500
   100   7.3682895176e-06   4.3724285199e-02   7.3682903159e-06   4.3714636504e-02       0.719000       0.719000
   101   8.2956419967e-06   5.1439267180e-02   8.2956344210e-06   5.1427846725e-02       0.879700       0.879700
   102   8.2948276763e-06   5.1432492553e-02   8.2948345788e-06   5.1421194016e-02       0.879700       0.879700
   103   7.7431051147e-06   4.6842512242e-02   7.7430363228e-06   4.6831596772e-02       0.925000       0.925000
   104   7.7398093493e-06   4.6815093572e-02   7.7398091433e-06   4.6804754618e-02       0.925000       0.925000
   105   6.4939266571e-06   3.6450143095e-02   6.4938639512e-06   3.6441571051e-02       0.938500       0.938500
   106   6.4872618471e-06   3.6394696121e-02   6.4868769397e-06   3.6383456389e-02       0.938600       0.938600
   107   7.6803756384e-06   4.6320642952e-02   7.6803763021e-06   4.6310420319e-02       0.945900       0.945900
   108   7.0012230303e-06   4.0670525815e-02   7.0011954089e-06   4.0661314470e-02       0.964900       0.964900
   109   7.0033591779e-06   4.0688297203e-02   7.0033289686e-06   4.0679060412e-02       0.964900       0.964900
   110   6.2818803414e-06   3.4686052804e-02   6.2818952852e-06   3.4678515813e-02       0.985100       0.985100
   111   6.2801354433e-06   3.4671536363e-02   6.2801613933e-06   3.4664094119e-02       0.985200       0.985200
   112   7.5002067744e-06   4.4821752756e-02   7.5002060179e-06   4.4811849001e-02       0.987700       0.987700
   113   7.5341473183e-06   4.5104116463e-02   7.5341431396e-06   4.5094121948e-02       0.987800       0.987800
   114   6.7979252757e-06   3.8979217981e-02   6.7979246611e-06   3.8970604408e-02       1.002500       1.002500
   115   6.7926385131e-06   3.8935235483e-02   6.7926109297e-06   3.8926407300e-02       1.002500       1.002500
   116   7.5709517469e-06   4.5410305869e-02   7.5709290915e-06   4.5400090120e-02       1.004500       1.004500
   117   8.1274724152e-06   5.0040203372e-02   8.1275208954e-06   5.0029557831e-02       1.013800       1.013800
   118   7.2066628819e-06   4.2379654533e-02   7.2062895677e-06   4.2367190804e-02       1.014300       1.014300
   119   7.1468105849e-06   4.1881721542e-02   7.1470974548e-06   4.1874858769e-02       1.014400       1.014400
   120   7.6442924221e-06   4.6020453574e-02   7.6442935853e-06   4.6010301324e-02       1.020200       1.020200
   121   7.2501118462e-06   4.2741122242e-02   7.2501284508e-06   4.2731821926e-02       1.025200       1.025200
   122   7.2594834673e-06   4.2819088161e-02   7.2594794535e-06   4.2809599149e-02       1.025300       1.025300
   123   6.7751714256e-06   3.8789920440e-02   6.7751715455e-06   3.8781354740e-02       1.038200       1.038200
   124   6.2087340194e-06   3.4077521993e-02   6.2087362180e-06   3.4070013250e-02       1.171300       1.171300
   125   5.9700525061e-06   3.2091843822e-02   5.9700557652e-06   3.2084781988e-02       1.174000       1.174000
   126   5.9710568984e-06   3.2100199727e-02   5.9710836678e-06   3.2093331596e-02       1.174000       1.174000
   127   5.0727896497e-06   2.4627188338e-02   5.0727909036e-06   2.4621756706e-02       1.179300       1.179300
   128   5.5685232666e-06   2.8751376290e-02   5.5685386475e-06   2.8745152266e-02       1.183600       1.183600
   129   5.3386567612e-06   2.6839033370e-02   5.3385432512e-06   2.6832159201e-02       1.186800       1.186800
   130   5.3605951255e-06   2.7021546589e-02   5.3606043310e-06   2.7015652842e-02       1.186800       1.186800
   131   5.1400498119e-06   2.5186750048e-02   5.1400466290e-06   2.5181158061e-02       1.202000       1.202000
   132   5.1255092937e-06   2.5065782198e-02   5.1255563315e-06   2.5060634610e-02       1.202100       1.202100
   133   5.4071880861e-06   2.7409170345e-02   5.4072018392e-06   2.7403228904e-02       1.202400       1.202400
   134   5.1706390582e-06   2.5441233095e-02   5.1706371296e-06   2.5435595394e-02       1.205700       1.205700
   135   5.1735933253e-06   2.5465810715e-02   5.1736244955e-06   2.5460442893e-02       1.205700       1.205700
   136   5.1686277739e-06   2.5424500490e-02   5.1686375150e-06   2.5418963545e-02       1.220500       1.220500
   137   5.1685887980e-06   2.5424176235e-02   5.1685931385e-06   2.5418594442e-02       1.220500       1.220500
   138   4.8919910053e-06   2.3123058770e-02   4.8919966062e-06   2.3117995141e-02       1.227400       1.227400
   139   5.0837883404e-06   2.4718690439e-02   5.0837209796e-06   2.4712667915e-02       1.229300       1.229300
   140   5.1026895978e-06   2.4875936862e-02   5.1027314963e-06   2.4870788413e-02       1.229300       1.229300
   141   5.4605962246e-06   2.7853492040e-02   5.4605947107e-06   2.7847325589e-02       1.232100       1.232100
   142   4.9144795353e-06   2.3310149016e-02   4.9144634195e-06   2.3304863481e-02       1.237200       1.237200
   143   4.9214701972e-06   2.3368306871e-02   4.9214815594e-06   2.3363237054e-02       1.237300       1.237300
   144   5.8969993300e-06   3.1484087926e-02   5.8970005832e-06   3.1477143493e-02       1.318100       1.318100
   145   6.0226846936e-06   3.2529710100e-02   6.0226926409e-06   3.2522590656e-02       1.455100       1.455100
   146   6.0224665522e-06   3.2527895302e-02   6.0224805887e-06   3.2520826906e-02       1.455200       1.455200
   147   6.8766371641e-06   3.9634050759e-02   6.8766381392e-06   3.9625305938e-02       1.986600       1.986600
   148   6.8903106533e-06   3.9747805480e-02   6.8903022002e-06   3.9738957142e-02       2.206900       2.206900
   149   6.8898313221e-06   3.9743817750e-02   6.8898060900e-06   3.9734830732e-02       2.206900       2.206900
   150   6.0329512118e-06   3.2615120992e-02   6.0329617048e-06   3.2608003879e-02       2.213200       2.213200
   151   7.4814395349e-06   4.4665621276e-02   7.4814396030e-06   4.4655758826e-02       2.243300       2.243300
   152   6.7501350733e-06   3.8581633935e-02   6.7501396713e-06   3.8573151435e-02       2.261700       2.261700
   153   6.7502455582e-06   3.8582553099e-02   6.7501845686e-06   3.8573524869e-02       2.276000       2.276000
   154   6.7512403933e-06   3.8590829493e-02   6.7512439900e-06   3.8582336636e-02       2.276100       2.276100
   155   6.3264463086e-06   3.5056813266e-02   6.3264417140e-06   3.5049031966e-02       2.279700       2.279700
   156   6.3299857354e-06   3.5086259043e-02   6.3300864043e-06   3.5079346778e-02       2.279700       2.279700
   157   6.7487720495e-06   3.8570294445e-02   6.7488392634e-06   3.8562335256e-02       2.347300       2.347300
   158   6.7489416972e-06   3.8571705806e-02   6.7489588207e-06   3.8563329677e-02       2.347300       2.347300
   159   7.3326755616e-06   4.3427999769e-02   7.3326762888e-06   4.3418415849e-02       3.300700       3.300700
   160   5.4180937139e-06   2.7499898222e-02   5.4180962490e-06   2.7493843458e-02       3.737200       3.737200
   161   7.2835856057e-06   4.3019602601e-02   7.2835823486e-06   4.3010075645e-02       3.747800       3.747800
   162   7.2845386342e-06   4.3027531192e-02   7.2845945718e-06   4.3018494840e-02       3.747800       3.747800
   163   5.3298700046e-06   2.6765933152e-02   5.3298680151e-06   2.6760002685e-02       3.786800       3.786800
   164   4.9206834721e-06   2.3361761819e-02   4.9206860356e-06   2.3356620263e-02       3.816600       3.816600
   165   4.9225140326e-06   2.3376990916e-02   4.9225257786e-06   2.3371922376e-02       3.816600       3.816600
   166   5.8778914154e-06   3.1325122247e-02   5.8778917815e-06   3.1318205507e-02       3.827400       3.827400
   167   4.9519041587e-06   2.3621498046e-02   4.9518986495e-06   2.3616232041e-02       3.835000       3.835000
   168   5.0019225764e-06   2.4037619424e-02   5.0019390063e-06   2.4032444092e-02       3.838000       3.838000
   169   4.9836127847e-06   2.3885293619e-02   4.9835300827e-06   2.3879327361e-02       3.838000       3.838000
   170   6.1705950026e-06   3.3760229665e-02   6.1705951557e-06   3.3752773911e-02       3.841000       3.841000
   171   6.4520572316e-06   3.6101816142e-02   6.4520804018e-06   3.6094035224e-02       3.850400       3.850400
   172   5.8610202931e-06   3.1184765255e-02   5.8610354018e-06   3.1178002103e-02       3.850700       3.850700
   173   5.8795593594e-06   3.1338998478e-02   5.8795204291e-06   3.1331751828e-02       3.850700       3.850700
   174   5.4493016373e-06   2.7759528268e-02   5.4493019233e-06   2.7753397517e-02       3.856700       3.856700
   175   5.4527579776e-06   2.7788282818e-02   5.4527579745e-06   2.7782143318e-02       3.856800       3.856800
   176   7.8512376003e-06   4.7742105650e-02   7.8512144723e-06   4.7731371521e-02       3.997200       3.997200
   177   7.8272160000e-06   4.7542261236e-02   7.8279900954e-06   4.7538202124e-02       3.997200       3.997200
   178   7.8840544848e-06   4.8015121227e-02   7.8840550435e-06   4.8004523879e-02       3.999100       3.999100
   179   6.1153186399e-06   3.3300365534e-02   6.1153183553e-06   3.3293007595e-02       4.014100       4.014100
   180   8.6728203757e-06   5.4577151062e-02   8.6728260703e-06   5.4565148692e-02       4.388900       4.388900
   181   8.6714775567e-06   5.4565979664e-02   8.6714800357e-06   5.4553953012e-02       4.389000       4.389000
   182   6.1390315879e-06   3.3497642157e-02   6.1390339282e-06   3.3490262529e-02       4.401000       4.401000
   183   7.2359568579e-06   4.2623361755e-02   7.2358415397e-06   4.2612990148e-02       4.446800       4.446800
   184   7.2283085156e-06   4.2559732419e-02   7.2281830596e-06   4.2549290528e-02       4.446800       4.446800
   185   6.7243273081e-06   3.8366929766e-02   6.7243286155e-06   3.8358467265e-02       4.448800       4.448800
   186   7.6364377541e-06   4.5955107739e-02   7.6364393110e-06   4.5944973181e-02       4.463100       4.463100
   187   7.8638287042e-06   4.7846855615e-02   7.8638691097e-06   4.7836626816e-02       4.484000       4.484000
   188   7.8591738784e-06   4.7808130430e-02   7.8591142233e-06   4.7797077918e-02       4.484000       4.484000
   189   7.7991178721e-06   4.7308502707e-02   7.7990395149e-06   4.7297404870e-02       4.488800       4.488800
   190   7.7885165084e-06   4.7220306113e-02   7.7885312040e-06   4.7210001704e-02       4.488900       4.488900
   191   7.9878051785e-06   4.8878260918e-02   7.9878098311e-06   4.8867507192e-02       4.498800       4.498800
   192   7.5117900372e-06   4.4918118125e-02   7.5117767859e-06   4.4908089184e-02       4.512700       4.512700
   193   7.5045111746e-06   4.4857562624e-02   7.5045203042e-06   4.4847733196e-02       4.512800       4.512800
   194   7.6738134899e-06   4.6266050056e-02   7.6738402172e-06   4.6256056252e-02       4.513900       4.513900
   195   7.6767330131e-06   4.6290338630e-02   7.6767945747e-06   4.6280629202e-02       4.514000       4.514000
   196   1.0010094605e-05   6.5702420917e-02   1.0010093862e-05   6.5687910504e-02       4.516000       4.516000
   197   6.8985484992e-06   3.9816339111e-02   6.8985512251e-06   3.9807568635e-02       4.522500       4.522500
   198   6.9028318571e-06   3.9851973921e-02   6.9028454825e-06   3.9843286240e-02       4.522500       4.522500
   199   8.2097505667e-06   5.0724705188e-02   8.2097486644e-06   5.0713489571e-02       4.527200       4.527200
   200   8.7104266208e-06   5.4890011070e-02   8.7104271044e-06   5.4877896332e-02       4.551500       4.551500
   201   8.3886490501e-06   5.2213026627e-02   8.3886873406e-06   5.2201816956e-02       4.675200       4.675200
   202   8.3892766560e-06   5.2218247908e-02   8.3893648382e-06   5.2207452061e-02       4.675300       4.675300
   203   7.6292445230e-06   4.5895264638e-02   7.6292587704e-06   4.5885248836e-02       5.246900       5.246900
   204   7.6294166185e-06   4.5896696363e-02   7.6294157244e-06   4.5886554305e-02       5.246900       5.246900
   205   5.6971101321e-06   2.9821137112e-02   5.6971099474e-06   2.9814547605e-02       5.315600       5.315600
   206   5.6032538088e-06   2.9040312280e-02   5.6032543986e-06   2.9033901485e-02       5.331800       5.331800
   207   5.8346424855e-06   3.0965318696e-02   5.8346405953e-06   3.0958462570e-02       5.369400       5.369400
   208   5.8335220765e-06   3.0955997606e-02   5.8335200571e-06   3.0949142463e-02       5.369500       5.369500
   209   5.6894284926e-06   2.9757230763e-02   5.6894283344e-06   2.9750655577e-02       5.378400       5.378400
   210   5.4405221791e-06   2.7686488768e-02   5.4405504303e-06   2.7680606732e-02       5.388600       5.388600
   211   5.4415744109e-06   2.7695242666e-02   5.4416081818e-06   2.7689404610e-02       5.388700       5.388700
   212   5.4350465188e-06   2.7640934762e-02   5.4350465350e-06   2.7634827931e-02       5.400200       5.400200
   213   5.3202726209e-06   2.6686089032e-02   5.3202626061e-06   2.6680109430e-02       5.411900       5.411900
   214   5.3220796424e-06   2.6701122300e-02   5.3220899875e-06   2.6695308725e-02       5.412000       5.412000
   215   5.0767096214e-06   2.4659800006e-02   5.0767101766e-06   2.4654355367e-02       5.413700       5.413700
   216   5.1919383055e-06   2.5618429266e-02   5.1919580129e-06   2.5612932431e-02       5.418600       5.418600
   217   5.1936516619e-06   2.5632683300e-02   5.1936157579e-06   2.5626720771e-02       5.418700       5.418700
   218   5.3271214598e-06   2.6743067010e-02   5.3270162875e-06   2.6736283362e-02       5.426100       5.426100
   219   5.3352426878e-06   2.6810630455e-02   5.3352002633e-06   2.6804353807e-02       5.426200       5.426200
   220   5.6662361553e-06   2.9564285289e-02   5.6662348227e-06   2.9557742903e-02       5.427200       5.427200
   221   5.6286316703e-06   2.9251439925e-02   5.6286402606e-06   2.9245049094e-02       5.434400       5.434400
   222   5.6251018256e-06   2.9222073865e-02   5.6251023248e-06   2.9215622215e-02       5.434500       5.434500
   223   5.7829984737e-06   3.0535673410e-02   5.7829981083e-06   3.0528924758e-02       5.445500       5.445500
   224   4.8394325414e-06   2.2685805826e-02   4.8394328712e-06   2.2680794822e-02       5.551300       5.551300
   225   4.9003856147e-06   2.3192896573e-02   4.9003910923e-06   2.3187816511e-02       5.565800       5.565800
   226   4.9007587525e-06   2.3196000842e-02   4.9007345969e-06   2.3190673620e-02       5.565900       5.565900
   227   1.3480110952e-05   9.4570746821e-02   1.3480109509e-05   9.4549861540e-02       5.614300       5.614300
   228   5.9274343397e-06   3.1737287822e-02   5.9274358699e-06   3.1730289831e-02       5.797900       5.797900
   229   5.9271284068e-06   3.1734742655e-02   5.9271394406e-06   3.1727824272e-02       5.797900       5.797900
   230   8.1853587232e-06   5.0521780586e-02   8.1853571323e-06   5.0510612329e-02       5.821600       5.821600
   231   5.5323951000e-06   2.8450812954e-02   5.5323903843e-06   2.8444488087e-02       5.857200       5.857200
   232   5.5320996295e-06   2.8448354828e-02   5.5321160043e-06   2.8442205925e-02       5.857200       5.857200
   233   5.5107524681e-06   2.8270760042e-02   5.5107510433e-06   2.8264502271e-02       5.875900       5.875900
   234   5.5106832239e-06   2.8270183974e-02   5.5106925697e-06   2.8264015915e-02       5.875900       5.875900
   235   5.7061340191e-06   2.9896210104e-02   5.7061333395e-06   2.9889599919e-02       5.888100       5.888100
   236   5.3920689766e-06   2.7283388984e-02   5.3920764737e-06   2.7277423258e-02       5.891000       5.891000
   237   5.3923610223e-06   2.7285818618e-02   5.3923509825e-06   2.7279706493e-02       5.891000       5.891000
   238   6.7904543245e-06   3.8917064425e-02   6.7904561506e-06   3.8908484866e-02       5.894500       5.894500
   239   5.6782745257e-06   2.9664436863e-02   5.6782767097e-06   2.9657901630e-02       5.897500       5.897500
   240   5.4944283732e-06   2.8134953969e-02   5.4944947852e-06   2.8129290395e-02       5.900200       5.900200
   241   5.4935850896e-06   2.8127938387e-02   5.4936215482e-06   2.8122027222e-02       5.900200       5.900200
   242   5.8495950298e-06   3.1089714340e-02   5.8495955438e-06   3.1082850768e-02       5.906000       5.906000
   243   5.5288834847e-06   2.8421598552e-02   5.5288751111e-06   2.8415249706e-02       5.909800       5.909800
   244   5.5295424575e-06   2.8427080786e-02   5.5295363300e-06   2.8420749412e-02       5.909800       5.909800
   245   5.6608682817e-06   2.9519628000e-02   5.6609191761e-06   2.9513529865e-02       5.916100       5.916100
   246   5.6608891793e-06   2.9519801854e-02   5.6608858814e-06   2.9513252936e-02       5.916200       5.916200
   247   6.7786610964e-06   3.8818952279e-02   6.7786611812e-06   3.8810379882e-02       5.928100       5.928100
   248   5.7148523849e-06   2.9968741355e-02   5.7148517422e-06   2.9962115475e-02       5.934700       5.934700
   249   6.2513650770e-06   3.4432185240e-02   6.2513786441e-06   3.4424692807e-02       5.939900       5.939900
   250   6.4248431898e-06   3.5875412647e-02   6.4247917043e-06   3.5867060728e-02       5.958700       5.958700
   251   6.4253768860e-06   3.5879852660e-02   6.4253836071e-06   3.5871983897e-02       5.958700       5.958700
   252   5.6908969628e-06   2.9769447500e-02   5.6909023278e-06   2.9762915558e-02       6.005100       6.005100
   253   5.6908474372e-06   2.9769035479e-02   5.6908501823e-06   2.9762481836e-02       6.005100       6.005100
   254   7.1468686658e-06   4.1882204738e-02   7.1468689133e-06   4.1872957869e-02       6.276500       6.276500
   255   6.9350468070e-06   4.0119981786e-02   6.9350149533e-06   4.0110856702e-02       6.318800       6.318800
